Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
B-n31-k5 , 31, 100,5, 672, Savings, 1168.987979, 9, 0.387912
B-n34-k5 , 34, 100,5, 788, Savings, 1322.897065, 10, 0.439312
B-n35-k5 , 35, 100,5, 955, Savings, 2035.815217, 12, 0.488761
B-n38-k6 , 38, 100,6, 805, Savings, 1438.689566, 11, 0.586766
B-n39-k5 , 39, 100,5, 549, Savings, 1015.777590, 8, 0.585786
B-n41-k6 , 41, 100,6, 829, Savings, 1140.381823, 10, 0.718767
B-n43-k6 , 43, 100,6, 742, Savings, 1398.339781, 11, 0.840888
B-n44-k7 , 44, 100,7, 909, Savings, 1356.344472, 11, 0.881134
B-n45-k5 , 45, 100,5, 751, Savings, 1269.495400, 11, 0.825398
B-n45-k6 , 45, 100,6, 678, Savings, 1129.945206, 12, 0.852639
B-n50-k7 , 50, 100,7, 741, Savings, 1341.545551, 14, 1.345633
B-n50-k8 , 50, 100,8, 1312, Savings, 1913.598050, 13, 2.172008
B-n51-k7 , 51, 100,7, 1032, Savings, 1779.570726, 14, 1.935782
B-n52-k7 , 52, 100,7, 747, Savings, 1530.174598, 14, 2.118071
B-n56-k7 , 56, 100,7, 707, Savings, 1479.124931, 14, 2.522715
B-n57-k7 , 57, 100,7, 1153, Savings, 2396.036000, 16, 2.170524
B-n57-k9 , 57, 100,9, 1598, Savings, 2252.760344, 13, 1.659517
B-n63-k10, 63, 100,10,1496, Savings,  2555.543389, 16, 2.310015
B-n64-k9 , 64, 100,9, 861, Savings, 1520.394400, 17, 2.088887
B-n66-k9 , 66, 100,9, 1316, Savings, 2283.225492, 17, 2.585241
B-n67-k10, 67, 100,10,1032, Savings,  1657.986656, 17, 2.753777
B-n68-k9 , 68, 100,9, 1272, Savings, 2245.743807, 17, 2.792417
B-n78-k10, 78, 100,10,1221, Savings,  1977.212040, 18, 3.891402
