Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
A-n32-k5 , 32, 100,5 ,784 , VMC, 1249.400155, 5, 0.056456
A-n33-k5 , 33, 100,5 ,661 , VMC, 1027.925890, 5, 0.059967
A-n33-k6 , 33, 100,6 ,742 , VMC, 1079.222986, 6, 0.060095
A-n34-k5 , 34, 100,5 ,778 , VMC, 1136.445337, 6, 0.062640
A-n36-k5 , 36, 100,5 ,799 , VMC, 952.725838, 5, 0.067412
A-n37-k5 , 37, 100,5 ,669 , VMC, 1197.662139, 5, 0.071013
A-n37-k6 , 37, 100,6 ,949 , VMC, 1306.816268, 7, 0.072076
A-n38-k5 , 38, 100,5 ,730 , VMC, 1210.208002, 6, 0.075179
A-n39-k5 , 39, 100,5 ,822 , VMC, 1561.194375, 6, 0.077878
A-n39-k6 , 39, 100,6 ,831 , VMC, 1278.379411, 6, 0.077091
A-n44-k6 , 44, 100,6 ,937 , VMC, 1492.077913, 7, 0.094718
A-n45-k6 , 45, 100,6 ,944 , VMC, 1607.841542, 7, 0.097861
A-n45-k7 , 45, 100,7 ,1146, VMC, 1486.194614, 7, 0.096579
A-n46-k7 , 46, 100,7 ,914 , VMC, 1387.973163, 7, 0.101338
A-n48-k7 , 48, 100,7 ,1073, VMC, 1416.629378, 7, 0.109045
A-n53-k7 , 53, 100,7 ,1010, VMC, 1716.510801, 8, 0.131192
A-n54-k7 , 54, 100,7 ,1167, VMC, 1981.288623, 8, 0.144298
A-n55-k9 , 55, 100,9 ,1073, VMC, 1627.802905, 10, 0.141880
A-n60-k9 , 60, 100,9 ,1354, VMC, 2010.717466, 10, 0.159539
A-n61-k9 , 61, 100,9 ,1034, VMC, 1642.380231, 11, 0.173468
A-n62-k8 , 62, 100,8 ,1288, VMC, 1682.013039, 8, 0.171659
A-n63-k9 , 63, 100,9 ,1616, VMC, 2215.363034, 10, 0.171561
A-n63-k10, 63, 100,10,1314, VMC, 1810.861282, 11, 0.172527
A-n64-k9 , 64, 100,9 ,1401, VMC, 1913.391170, 10, 0.190820
A-n65-k9 , 65, 100,9 ,1174, VMC, 1614.000490, 10, 0.190072
A-n69-k9 , 69, 100,9 ,1159, VMC, 2112.677240, 10, 0.204842
A-n80-k10, 80, 100,10,1763, VMC, 2575.672075, 11, 0.264161
P-n16-k8, 16, 35,   8 , 450, VMC, 515.192257, 9, 0.025279
P-n19-k2, 19, 160,  2 , 212, VMC,  362.807141, 3, 0.025438
P-n20-k2, 20, 160,  2 , 216, VMC,  362.357770, 3, 0.027101
P-n21-k2, 21, 160,  2 , 211, VMC,  340.267093, 2, 0.034847
P-n22-k2, 22, 160,  2 , 216, VMC,  348.499498, 2, 0.030561
P-n22-k8, 22, 3000, 8 , 603, VMC,  723.342162, 10, 0.036996
P-n23-k8, 23, 40,   8 , 529, VMC, 608.654632, 10, 0.039447
P-n40-k5, 40, 140,  5 , 458, VMC,  798.967460, 5, 0.079704
P-n45-k5, 45, 150,  5 , 510, VMC,  1033.589549, 5, 0.097098
P-n50-k7, 50, 150,  7 , 554, VMC,  920.339190, 7, 0.114913
P-n50-k8, 50, 120,  8 , 631, VMC,  870.761192, 9, 0.118896
P-n50-k10, 50, 100, 10, 696, VMC,  959.926887, 11, 0.119731
P-n51-k10, 51, 80,  10, 741, VMC, 1043.420718, 11, 0.124617
P-n55-k7, 55, 170,  7 , 568, VMC,  965.647726, 7, 0.135572
P-n55-k10, 55, 115, 10, 694, VMC,  1026.803021, 10, 0.139600
P-n55-k15, 55, 70,  15, 989, VMC, 1169.906545, 19, 0.150659
P-n60-k10, 60, 120, 10, 744, VMC,  1243.606780, 11, 0.159276
P-n60-k15, 60, 80,  15, 968, VMC, 1167.295984, 17, 0.174874
P-n65-k10, 65, 130, 10, 792, VMC,  1235.970101, 11, 0.180879
P-n70-k10, 70, 135, 10, 827, VMC,  1390.327655, 11, 0.251209
P-n76-k4, 76, 350,  4 , 593, VMC,  1598.972370, 5, 0.230323
P-n76-k5, 76, 280,  5 , 627, VMC,  1368.920278, 6, 0.230210
P-n101-k4, 101, 400,4 , 400, VMC,  2303.332347, 4, 0.399419
X-n101-k25,  101, 206, 25, 27591 , VMC, 34184.179463, 30, 0.403768
X-n106-k14,  106, 600, 14, 26362 , VMC, 33093.417648, 15, 0.424568
X-n110-k13,  110, 66,  13, 14971 , VMC, 24065.300723, 14, 0.456182
X-n115-k10,  115, 169, 10, 12747 , VMC, 25165.337787, 12, 0.627499
X-n120-k6,   120,  21,  6,  13332 , VMC, 22096.019202, 6, 0.525357
X-n125-k30,  125, 188, 30, 55539 , VMC, 67826.794581, 36, 0.591316
X-n129-k18,  129, 39,  18, 28940 , VMC, 37279.730584, 20, 0.624188
X-n134-k13,  134, 643, 13, 10916 , VMC, 15689.121873, 14, 0.664154
X-n139-k10,  139, 106, 10, 13590 , VMC, 32580.064204, 11, 0.683477
X-n143-k7,  143,  1190,7,  15700 , VMC,  32772.365164, 7, 0.754061
X-n148-k46,  148, 18,  46, 43448 , VMC, 53063.640303, 56, 0.827022
X-n153-k22,  153, 144, 22, 21220 , VMC, 30904.410829, 29, 0.860153
X-n157-k13,  157, 12,  13, 16876 , VMC, 23636.860008, 15, 0.915005
X-n162-k11,  162, 1174,11, 14138 , VMC,  27763.474864, 11, 0.962643
X-n167-k10,  167, 133, 10, 20557 , VMC, 37367.855670, 10, 1.014925
X-n172-k51,  172, 161, 51, 45607 , VMC, 55910.549178, 63, 1.123226
X-n176-k26,  176, 142, 26, 47812 , VMC, 69139.068728, 35, 1.099895
X-n181-k23,  181, 8,   23, 25569 , VMC, 33224.451469, 26, 1.156519
X-n186-k15,  186, 974, 15, 24145 , VMC, 39298.415326, 15, 1.183354
X-n190-k8,  190,  138, 8,  16980 , VMC, 25007.843847, 8, 1.431405
X-n195-k51,  195, 181, 51, 44225 , VMC, 57270.366443, 62, 1.453852
X-n200-k36,  200, 402, 36, 58578 , VMC, 69721.568074, 40, 1.441633
X-n204-k19,  204, 836, 19, 19565 , VMC, 34334.557686, 20, 1.471577
X-n209-k16,  209, 101, 16, 30656 , VMC, 47468.565323, 17, 1.515305
X-n214-k11,  214, 944, 11, 10856 , VMC, 21252.094240, 12, 1.582533
X-n219-k73,  219, 3,   73, 117595, VMC, 173387.526000, 109, 1.698254
X-n223-k34,  223, 37,  34, 40437 , VMC, 51252.175247, 38, 1.819534
X-n228-k23,  228, 154, 23, 25742 , VMC, 41951.628515, 30, 1.799774
X-n233-k16,  233, 631, 16, 19230 , VMC, 37224.143678, 17, 1.870022
X-n237-k14,  237, 18,  14, 27042 , VMC, 44689.992301, 14, 1.859055
X-n242-k48,  242, 28,  48, 82751 , VMC, 97301.871963, 54, 2.017008
X-n247-k50,  247, 134, 47, 37274 , VMC, 49711.440782, 61, 2.068136
X-n251-k28,  251, 69,  28, 38684 , VMC, 48407.434406, 29, 2.088865
Li_21,560,1200,10,16212.83,VMC,89824.407241,10,8.849633
Li_22,600,900,15,14499.04,VMC,53980.823348,14,10.169119
Li_24,720,1500,10,21389.43,VMC,146585.653653,10,14.420081
Li_25,760,900,19,16668.51,VMC,62914.381698,18,16.355469
Li_23,640,1400,10,18801.13,VMC,108703.985488,11,11.607962
Li_26,800,1700,10,23977.73,VMC,182699.843522,10,17.638292
Li_27,840,900,20,17372.64,VMC,66220.973852,20,19.314785
Li_28,880,1800,10,26566.03,VMC,200109.172276,10,21.141707
Li_29,960,2000,10,29154.34,VMC,233404.791098,10,25.095144
Li_30,1040,2100,10,31742.64,VMC,270737.630016,10,29.426265
Li_31,1120,2300,10,34330.94,VMC,360352.310519,10,34.426235
Li_32,1200,2500,11,37159.41,VMC,379572.542288,10,39.319813
